module_name,direct_dependents
protovalidate,1
pybind11_protobuf,1
pypackaging.bzl,1
qdldl,1
ragel,1
range-v3,1
rapidyaml,1
rav1e,1
rawrtc_data_channel,1
rawrtc_re,1
rawrtc_rew,1
rawrtc_usrsctp,1
re.bzl,1
readerwriterqueue,1
rsync,1
rtipc,1
rules_ada,1
rules_d,1
rules_dart,1
rules_diff,1
rules_graalvm,1
rules_ios,1
rules_multirun,1
rules_nixpkgs_core,1
rules_node_addon,1
rules_platform,1
rules_proto_grpc_go,1
rules_proto_grpc_java,1
rules_python_gazelle_plugin,1
rules_qt,1
rules_req_compile,1
rules_robolectric,1
rules_runfiles_group,1
rules_rust_prost,1
rules_rust_pyo3,1
rules_sh,1
rules_testing,1
rules_verible,1
rules_verilator,1
rules_xcodeproj,1
scip,1
sdl2_mixer,1
sha256.bzl,1
shine,1
skcms,1
skywalking-data-collect-protocol,1
soplex,1
sourcekitten,1
sparse_map,1
speex,1
spirv_headers,1
suitesparse,1
supply-chain-go,1
swift-index-store,1
swift-syntax,1
swift-system,1
swxmlhash,1
systemc,1
systemd,1
tcmalloc,1
teckit,1
texlive-texmf,1
thrax,1
thrift,1
tink_cc,1
tinyobjloader,1
toolchains_llvm,1
toolchains_protoc,1
tree-sitter-bazel,1
trlc,1
twolame,1
urdfdom_headers,1
userspace_rcu,1
version_utils,1
vorbis,1
vulkan_headers,1
wangle,1
windows_support,1
x264,1
x265,1
xcb-proto,1
xcodeproj,1
xctestrunner,1
xml.bzl,1
xpdf,1
xsimd,1
xtl,1
xvidcore,1
xxd,1
yaml.bzl,1
yyjson,1
zenlib,1
zenoh-c,1
zenoh-pico,1
zip,1
zipkin-api,1
zopfli,1
zstd-jni,1
zziplib,1
